Sample,emax,Ct1S0pp,Ct1S0np,Ct1S0nn,Ct3S1,C1S0,C3P0,C1P1,C3P1,C3S1,CE1,C3P2,c1,c2,c3,c4,cD,cE,Nucl bra,J bra,P bra,n bra,Energy bra,Nucl ket,J ket,P ket,n ket,Energy ket,Zero,One,Two,Rch
795101,8,-0.339585498792,-0.339069041448,-0.335042220816,-0.234373168955,2.52772011034,0.979590937156,0.032342049474,-1.13901029588,0.7861736776,0.225120077933,-0.845961768137,-0.779525452266,-0.416566832251,-0.825396866384,1.013341472305,2.395656197323,0.708407124628,O23,1/2,+,1,-148.718646,O23,1/2,+,1,-148.718646,6.95767852,0.4240411584313672,-0.0611754214163957,2.812353133412476
797649,4,-0.345346071067,-0.350843385268,-0.350992152777,-0.243685987398,2.737677415372,0.450558436111,-0.027848245894,-1.295352713593,0.80670214682,0.373512173798,-0.844316412675,-0.727837947198,-0.603677906793,-0.493008028446,0.83541521908,-0.417985860202,-0.039459158242,O23,1/2,+,1,-84.7180273,O23,1/2,+,1,-84.7180273,7.42890112,0.4587072943144805,-0.0641512671269578,2.900386704766715
797649,6,-0.345346071067,-0.350843385268,-0.350992152777,-0.243685987398,2.737677415372,0.450558436111,-0.027848245894,-1.295352713593,0.80670214682,0.373512173798,-0.844316412675,-0.727837947198,-0.603677906793,-0.493008028446,0.83541521908,-0.417985860202,-0.039459158242,O23,1/2,+,1,-116.4864908,O23,1/2,+,1,-116.4864908,7.00726998,0.4576498326632164,-0.054049147067432,2.8283664111277704
797649,8,-0.345346071067,-0.350843385268,-0.350992152777,-0.243685987398,2.737677415372,0.450558436111,-0.027848245894,-1.295352713593,0.80670214682,0.373512173798,-0.844316412675,-0.727837947198,-0.603677906793,-0.493008028446,0.83541521908,-0.417985860202,-0.039459158242,O23,1/2,+,1,-134.552658,O23,1/2,+,1,-134.552658,6.76902417,0.4870185763762558,-0.058431685832088,2.7904116095200306
799326,4,-0.353238185544,-0.353435593578,-0.357339180349,-0.265074168733,2.647120359117,0.93884193085,-0.137891937506,-1.004986401111,0.980406798758,0.545154286097,-0.88607860846,-0.718895875072,-0.72823772544,-0.341195094833,0.841004359833,-3.046747060649,-0.94979721333,O23,1/2,+,1,-74.8664631,O23,1/2,+,1,-74.8664631,7.95859667,0.5459551371275397,-0.0618877046122257,3.005237094226563
799326,6,-0.353238185544,-0.353435593578,-0.357339180349,-0.265074168733,2.647120359117,0.93884193085,-0.137891937506,-1.004986401111,0.980406798758,0.545154286097,-0.88607860846,-0.718895875072,-0.72823772544,-0.341195094833,0.841004359833,-3.046747060649,-0.94979721333,O23,1/2,+,1,-97.7070465,O23,1/2,+,1,-97.7070465,7.65788596,0.5417827829703031,-0.0480136281231711,2.956423684935421
799326,8,-0.353238185544,-0.353435593578,-0.357339180349,-0.265074168733,2.647120359117,0.93884193085,-0.137891937506,-1.004986401111,0.980406798758,0.545154286097,-0.88607860846,-0.718895875072,-0.72823772544,-0.341195094833,0.841004359833,-3.046747060649,-0.94979721333,O23,1/2,+,1,-108.9328435,O23,1/2,+,1,-108.9328435,7.5090488,0.5679642689172429,-0.055370318971862,2.9343531893665054
799592,4,-0.341981244165,-0.341719988412,-0.344657764118,-0.247076142576,2.551683497271,0.607552022187,-0.045314086081,-1.227872739416,0.948656607801,0.271681020682,-0.890130053154,-0.686450992334,-0.611024158723,-0.419552653581,0.902103547528,-1.94638053909,-0.378685615627,O23,1/2,+,1,-81.9817757,O23,1/2,+,1,-81.9817757,7.37720605,0.3783643889763073,-0.070200279836368,2.8764832780914857
799592,6,-0.341981244165,-0.341719988412,-0.344657764118,-0.247076142576,2.551683497271,0.607552022187,-0.045314086081,-1.227872739416,0.948656607801,0.271681020682,-0.890130053154,-0.686450992334,-0.611024158723,-0.419552653581,0.902103547528,-1.94638053909,-0.378685615627,O23,1/2,+,1,-114.6339123,O23,1/2,+,1,-114.6339123,6.91884725,0.3584772110725098,-0.0593337666453484,2.7940609485884806
799592,8,-0.341981244165,-0.341719988412,-0.344657764118,-0.247076142576,2.551683497271,0.607552022187,-0.045314086081,-1.227872739416,0.948656607801,0.271681020682,-0.890130053154,-0.686450992334,-0.611024158723,-0.419552653581,0.902103547528,-1.94638053909,-0.378685615627,O23,1/2,+,1,-133.28243700000002,O23,1/2,+,1,-133.28243700000002,6.6682337,0.4017252622578544,-0.0625152784107117,2.7561258269257487
799791,4,-0.339692255431,-0.339693530145,-0.33506068633,-0.253965338519,2.559767206572,1.457837793937,0.051214713387,-1.174403008932,0.938528307461,0.395914955752,-0.880432108283,-0.773611071508,-0.471589151784,-0.715926081601,0.978282221957,-3.409088879232,-0.449803457989,O23,1/2,+,1,-99.2190358,O23,1/2,+,1,-99.2190358,7.15285367,0.2095166242281511,-0.0801316314534655,2.805534628689278
799791,6,-0.339692255431,-0.339693530145,-0.33506068633,-0.253965338519,2.559767206572,1.457837793937,0.051214713387,-1.174403008932,0.938528307461,0.395914955752,-0.880432108283,-0.773611071508,-0.471589151784,-0.715926081601,0.978282221957,-3.409088879232,-0.449803457989,O23,1/2,+,1,-129.5200564,O23,1/2,+,1,-129.5200564,6.31027434,1.299757442063943,-0.8412687993633221,2.712480206877208
799791,8,-0.339692255431,-0.339693530145,-0.33506068633,-0.253965338519,2.559767206572,1.457837793937,0.051214713387,-1.174403008932,0.938528307461,0.395914955752,-0.880432108283,-0.773611071508,-0.471589151784,-0.715926081601,0.978282221957,-3.409088879232,-0.449803457989,O23,1/2,+,1,-144.700378,O23,1/2,+,1,-144.700378,6.45312117,0.1870351024677787,-0.0630683970665865,2.6769149716420193
803603,4,-0.339296550303,-0.343080775731,-0.34417673565,-0.26163405558,2.525238182754,0.918159454724,0.027992096363,-0.888933612885,0.912673512891,0.585344039637,-0.824722968055,-0.742007499189,-0.502744395329,-0.709146081214,0.974413544194,3.020516018377,0.536618147094,O23,1/2,+,1,-88.1740586,O23,1/2,+,1,-88.1740586,8.01954031,0.5719471890081036,-0.0567428958906999,3.020518249095245
803603,6,-0.339296550303,-0.343080775731,-0.34417673565,-0.26163405558,2.525238182754,0.918159454724,0.027992096363,-0.888933612885,0.912673512891,0.585344039637,-0.824722968055,-0.742007499189,-0.502744395329,-0.709146081214,0.974413544194,3.020516018377,0.536618147094,O23,1/2,+,1,-114.8070816,O23,1/2,+,1,-114.8070816,7.68486973,0.5515158116415675,-0.0471409837436259,2.962774113545942
803603,8,-0.339296550303,-0.343080775731,-0.34417673565,-0.26163405558,2.525238182754,0.918159454724,0.027992096363,-0.888933612885,0.912673512891,0.585344039637,-0.824722968055,-0.742007499189,-0.502744395329,-0.709146081214,0.974413544194,3.020516018377,0.536618147094,O23,1/2,+,1,-128.16422500000002,O23,1/2,+,1,-128.16422500000002,7.47377573,0.5396465453002995,-0.053491932194617,2.9238187756948415
806315,4,-0.348586360584,-0.353005560903,-0.352986214795,-0.251544464436,2.730939825202,0.402990213604,-0.088511816351,-1.292252031637,0.899605003406,0.400312192805,-0.88545044191,-0.757122212442,-0.797406540191,-0.240109911476,0.756656041788,-0.749200699767,-0.195621009017,O23,1/2,+,1,-69.4184632,O23,1/2,+,1,-69.4184632,7.65642349,0.5521865698148303,-0.0592873536131888,2.95602919407127
806315,6,-0.348586360584,-0.353005560903,-0.352986214795,-0.251544464436,2.730939825202,0.402990213604,-0.088511816351,-1.292252031637,0.899605003406,0.400312192805,-0.88545044191,-0.757122212442,-0.797406540191,-0.240109911476,0.756656041788,-0.749200699767,-0.195621009017,O23,1/2,+,1,-98.8032068,O23,1/2,+,1,-98.8032068,7.23604688,0.5400785525662333,-0.051051409029472,2.8833764779398408
806315,8,-0.348586360584,-0.353005560903,-0.352986214795,-0.251544464436,2.730939825202,0.402990213604,-0.088511816351,-1.292252031637,0.899605003406,0.400312192805,-0.88545044191,-0.757122212442,-0.797406540191,-0.240109911476,0.756656041788,-0.749200699767,-0.195621009017,O23,1/2,+,1,-114.6930123,O23,1/2,+,1,-114.6930123,7.01170247,0.5732245981521262,-0.0583121477729182,2.8487542558773313
810705,4,-0.355700140603,-0.354416374852,-0.356485641486,-0.254328701308,2.742345949487,1.2566077885,-0.084027621588,-1.105781659193,0.930929422317,0.394808877865,-0.974025145441,-0.784891698772,-0.753618303621,-0.344942849396,0.826350474398,0.653305148345,0.163857108424,O23,1/2,+,1,-77.1732711,O23,1/2,+,1,-77.1732711,7.89223159,0.4100211552812648,-0.0690403593983783,2.9701848891748956
